"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2010","France","AO","Total","Total","Total positive decisions","Person","50",""
"2010","France","AO","Males","Total","Total positive decisions","Person","25",""
"2010","France","AO","Females","Total","Total positive decisions","Person","25",""
"2010","France","CM","Total","Total","Total positive decisions","Person","20",""
"2010","France","CM","Males","Total","Total positive decisions","Person","10",""
"2010","France","CM","Females","Total","Total positive decisions","Person","10",""
"2010","France","CF","Total","Total","Total positive decisions","Person","10",""
"2010","France","CF","Males","Total","Total positive decisions","Person","5",""
"2010","France","CF","Females","Total","Total positive decisions","Person","5",""
"2010","France","TD","Total","Total","Total positive decisions","Person","30",""
"2010","France","TD","Males","Total","Total positive decisions","Person","15",""
"2010","France","TD","Females","Total","Total positive decisions","Person","15",""
"2010","France","CG","Total","Total","Total positive decisions","Person","50",""
"2010","France","CG","Males","Total","Total positive decisions","Person","25",""
"2010","France","CG","Females","Total","Total positive decisions","Person","30",""
"2010","France","CD","Total","Total","Total positive decisions","Person","260",""
"2010","France","CD","Males","Total","Total positive decisions","Person","120",""
"2010","France","CD","Females","Total","Total positive decisions","Person","135",""
"2010","France","GQ","Total","Total","Total positive decisions","Person","0",""
"2010","France","GQ","Males","Total","Total positive decisions","Person","0",""
"2010","France","GQ","Females","Total","Total positive decisions","Person","0",""
"2010","France","GA","Total","Total","Total positive decisions","Person","0",""
"2010","France","GA","Males","Total","Total positive decisions","Person","0",""
"2010","France","GA","Females","Total","Total positive decisions","Person","0",""
"2010","France","ST","Total","Total","Total positive decisions","Person","0",""
"2010","France","ST","Males","Total","Total positive decisions","Person","0",""
"2010","France","ST","Females","Total","Total positive decisions","Person","0",""
"2010","France","BI","Total","Total","Total positive decisions","Person","15",""
"2010","France","BI","Males","Total","Total positive decisions","Person","10",""
"2010","France","BI","Females","Total","Total positive decisions","Person","5",""
"2010","France","KM","Total","Total","Total positive decisions","Person","85",""
"2010","France","KM","Males","Total","Total positive decisions","Person","50",""
"2010","France","KM","Females","Total","Total positive decisions","Person","35",""
"2010","France","DJ","Total","Total","Total positive decisions","Person","10",""
"2010","France","DJ","Males","Total","Total positive decisions","Person","5",""
"2010","France","DJ","Females","Total","Total positive decisions","Person","5",""
"2010","France","ER","Total","Total","Total positive decisions","Person","290",""
"2010","France","ER","Males","Total","Total positive decisions","Person","235",""
"2010","France","ER","Females","Total","Total positive decisions","Person","50",""
"2010","France","ET","Total","Total","Total positive decisions","Person","25",""
"2010","France","ET","Males","Total","Total positive decisions","Person","10",""
"2010","France","ET","Females","Total","Total positive decisions","Person","15",""
"2010","France","KE","Total","Total","Total positive decisions","Person","0",""
"2010","France","KE","Males","Total","Total positive decisions","Person","0",""
"2010","France","KE","Females","Total","Total positive decisions","Person","0",""
"2010","France","MG","Total","Total","Total positive decisions","Person","10",""
"2010","France","MG","Males","Total","Total positive decisions","Person","5",""
"2010","France","MG","Females","Total","Total positive decisions","Person","5",""
"2010","France","MW","Total","Total","Total positive decisions","Person","0",""
"2010","France","MW","Males","Total","Total positive decisions","Person","0",""
"2010","France","MW","Females","Total","Total positive decisions","Person","0",""
"2010","France","MU","Total","Total","Total positive decisions","Person","0",""
"2010","France","MU","Males","Total","Total positive decisions","Person","0",""
"2010","France","MU","Females","Total","Total positive decisions","Person","0",""
"2010","France","MZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","MZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","MZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","RW","Total","Total","Total positive decisions","Person","120",""
"2010","France","RW","Males","Total","Total positive decisions","Person","60",""
"2010","France","RW","Females","Total","Total positive decisions","Person","60",""
"2010","France","SC","Total","Total","Total positive decisions","Person","0",""
"2010","France","SC","Males","Total","Total positive decisions","Person","0",""
"2010","France","SC","Females","Total","Total positive decisions","Person","0",""
"2010","France","SO","Total","Total","Total positive decisions","Person","190",""
"2010","France","SO","Males","Total","Total positive decisions","Person","150",""
"2010","France","SO","Females","Total","Total positive decisions","Person","40",""
"2010","France","UG","Total","Total","Total positive decisions","Person","5",""
"2010","France","UG","Males","Total","Total positive decisions","Person","0",""
"2010","France","UG","Females","Total","Total positive decisions","Person","0",""
"2010","France","TZ","Total","Total","Total positive decisions","Person","0",""
"2010","France","TZ","Males","Total","Total positive decisions","Person","0",""
"2010","France","TZ","Females","Total","Total positive decisions","Person","0",""
"2010","France","ZM","Total","Total","Total positive decisions","Person","0",""
"2010","France","ZM","Males","Total","Total positive decisions","Person","0",""
"2010","France","ZM","Females","Total","Total positive decisions","Person","0",""
"2010","France","ZW","Total","Total","Total positive decisions","Person","10",""
"2010","France","ZW","Males","Total","Total positive decisions","Person","5",""
"2010","France","ZW","Females","Total","Total positive decisions","Person","0",""
"2010","France","DZ","Total","Total","Total positive decisions","Person","35",""
"2010","France","DZ","Males","Total","Total positive decisions","Person","15",""
"2010","France","DZ","Females","Total","Total positive decisions","Person","20",""
"2010","France","EG","Total","Total","Total positive decisions","Person","5",""
"2010","France","EG","Males","Total","Total positive decisions","Person","0",""
"2010","France","EG","Females","Total","Total positive decisions","Person","0",""
"2010","France","LY","Total","Total","Total positive decisions","Person","5",""
"2010","France","LY","Males","Total","Total positive decisions","Person","0",""
"2010","France","LY","Females","Total","Total positive decisions","Person","0",""
"2010","France","MA","Total","Total","Total positive decisions","Person","5",""
"2010","France","MA","Males","Total","Total positive decisions","Person","5",""
"2010","France","MA","Females","Total","Total positive decisions","Person","0",""
"2010","France","SS","Total","Total","Total positive decisions","Person","0",""
"2010","France","SS","Males","Total","Total positive decisions","Person","0",""
"2010","France","SS","Females","Total","Total positive decisions","Person","0",""
"2010","France","SD","Total","Total","Total positive decisions","Person","150",""
"2010","France","SD","Males","Total","Total positive decisions","Person","135",""
"2010","France","SD","Females","Total","Total positive decisions","Person","15",""
"2010","France","TN","Total","Total","Total positive decisions","Person","10",""
"2010","France","TN","Males","Total","Total positive decisions","Person","10",""
"2010","France","TN","Females","Total","Total positive decisions","Person","5",""
"2010","France","EH","Total","Total","Total positive decisions","Person","5",""
"2010","France","EH","Males","Total","Total positive decisions","Person","0",""
"2010","France","EH","Females","Total","Total positive decisions","Person","0",""
"2010","France","BW","Total","Total","Total positive decisions","Person","0",""
"2010","France","BW","Males","Total","Total positive decisions","Person","0",""
"2010","France","BW","Females","Total","Total positive decisions","Person","0",""
"2010","France","LS","Total","Total","Total positive decisions","Person","0",""
"2010","France","LS","Males","Total","Total positive decisions","Person","0",""
"2010","France","LS","Females","Total","Total positive decisions","Person","0",""
