"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2010","France","AO","Total","Total","First time applicant","Person","745",""
"2010","France","AO","Males","Total","First time applicant","Person","355",""
"2010","France","AO","Females","Total","First time applicant","Person","390",""
"2010","France","CM","Total","Total","First time applicant","Person","200",""
"2010","France","CM","Males","Total","First time applicant","Person","110",""
"2010","France","CM","Females","Total","First time applicant","Person","85",""
"2010","France","CF","Total","Total","First time applicant","Person","100",""
"2010","France","CF","Males","Total","First time applicant","Person","60",""
"2010","France","CF","Females","Total","First time applicant","Person","40",""
"2010","France","TD","Total","Total","First time applicant","Person","240",""
"2010","France","TD","Males","Total","First time applicant","Person","165",""
"2010","France","TD","Females","Total","First time applicant","Person","75",""
"2010","France","CG","Total","Total","First time applicant","Person","705",""
"2010","France","CG","Males","Total","First time applicant","Person","385",""
"2010","France","CG","Females","Total","First time applicant","Person","325",""
"2010","France","CD","Total","Total","First time applicant","Person","3,430",""
"2010","France","CD","Males","Total","First time applicant","Person","1,665",""
"2010","France","CD","Females","Total","First time applicant","Person","1,765",""
"2010","France","GQ","Total","Total","First time applicant","Person","5",""
"2010","France","GQ","Males","Total","First time applicant","Person","0",""
"2010","France","GQ","Females","Total","First time applicant","Person","5",""
"2010","France","GA","Total","Total","First time applicant","Person","15",""
"2010","France","GA","Males","Total","First time applicant","Person","10",""
"2010","France","GA","Females","Total","First time applicant","Person","5",""
"2010","France","ST","Total","Total","First time applicant","Person","5",""
"2010","France","ST","Males","Total","First time applicant","Person","0",""
"2010","France","ST","Females","Total","First time applicant","Person","5",""
"2010","France","BI","Total","Total","First time applicant","Person","45",""
"2010","France","BI","Males","Total","First time applicant","Person","25",""
"2010","France","BI","Females","Total","First time applicant","Person","20",""
"2010","France","KM","Total","Total","First time applicant","Person","755",""
"2010","France","KM","Males","Total","First time applicant","Person","550",""
"2010","France","KM","Females","Total","First time applicant","Person","205",""
"2010","France","DJ","Total","Total","First time applicant","Person","25",""
"2010","France","DJ","Males","Total","First time applicant","Person","15",""
"2010","France","DJ","Females","Total","First time applicant","Person","15",""
"2010","France","ER","Total","Total","First time applicant","Person","725",""
"2010","France","ER","Males","Total","First time applicant","Person","540",""
"2010","France","ER","Females","Total","First time applicant","Person","185",""
"2010","France","ET","Total","Total","First time applicant","Person","95",""
"2010","France","ET","Males","Total","First time applicant","Person","50",""
"2010","France","ET","Females","Total","First time applicant","Person","45",""
"2010","France","KE","Total","Total","First time applicant","Person","25",""
"2010","France","KE","Males","Total","First time applicant","Person","15",""
"2010","France","KE","Females","Total","First time applicant","Person","10",""
"2010","France","MG","Total","Total","First time applicant","Person","260",""
