"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2010","France","AO","Total","Total","Person","0",""
"2010","France","CM","Total","Total","Person","0",""
"2010","France","CF","Total","Total","Person","0",""
"2010","France","TD","Total","Total","Person","0",""
"2010","France","CG","Total","Total","Person","0",""
"2010","France","CD","Total","Total","Person","20",""
"2010","France","GQ","Total","Total","Person","0",""
"2010","France","GA","Total","Total","Person","0",""
"2010","France","ST","Total","Total","Person","0",""
"2010","France","BI","Total","Total","Person","5",""
"2010","France","KM","Total","Total","Person","0",""
"2010","France","DJ","Total","Total","Person","5",""
"2010","France","ER","Total","Total","Person","10",""
"2010","France","ET","Total","Total","Person","5",""
"2010","France","KE","Total","Total","Person","0",""
"2010","France","MG","Total","Total","Person","0",""
"2010","France","MW","Total","Total","Person","0",""
"2010","France","MU","Total","Total","Person","0",""
"2010","France","MZ","Total","Total","Person","0",""
"2010","France","RW","Total","Total","Person","10",""
"2010","France","SC","Total","Total","Person","0",""
"2010","France","SO","Total","Total","Person","50",""
"2010","France","UG","Total","Total","Person","0",""
"2010","France","TZ","Total","Total","Person","0",""
"2010","France","ZM","Total","Total","Person","0",""
"2010","France","ZW","Total","Total","Person","0",""
"2010","France","DZ","Total","Total","Person","0",""
"2010","France","EG","Total","Total","Person","0",""
"2010","France","LY","Total","Total","Person","0",""
"2010","France","MA","Total","Total","Person","0",""
"2010","France","SS","Total","Total","Person",":",""
"2010","France","SD","Total","Total","Person","10",""
"2010","France","TN","Total","Total","Person","0",""
"2010","France","EH","Total","Total","Person","0",""
"2010","France","BW","Total","Total","Person","0",""
"2010","France","LS","Total","Total","Person","0",""
"2010","France","NA","Total","Total","Person","0",""
"2010","France","ZA","Total","Total","Person","0",""
"2010","France","SZ","Total","Total","Person","0",""
"2010","France","BJ","Total","Total","Person","0",""
"2010","France","BF","Total","Total","Person","0",""
"2010","France","CV","Total","Total","Person","0",""
"2010","France","CI","Total","Total","Person","0",""
"2010","France","GM","Total","Total","Person","0",""
"2010","France","GH","Total","Total","Person","0",""
"2010","France","GN","Total","Total","Person","0",""
"2010","France","GW","Total","Total","Person","0",""
"2010","France","LR","Total","Total","Person","0",""
"2010","France","ML","Total","Total","Person","0",""
"2010","France","MR","Total","Total","Person","0",""
"2010","France","NE","Total","Total","Person","0",""
"2010","France","NG","Total","Total","Person","0",""
"2010","France","SN","Total","Total","Person","0",""
"2010","France","SL","Total","Total","Person","0",""
"2010","France","TG","Total","Total","Person","0",""
"2010","France","CA","Total","Total","Person","0",""
"2010","France","US","Total","Total","Person","0",""
"2010","France","AG","Total","Total","Person","0",""
"2010","France","BS","Total","Total","Person","0",""
"2010","France","BB","Total","Total","Person","0",""
"2010","France","CU","Total","Total","Person","0",""
"2010","France","DM","Total","Total","Person","0",""
"2010","France","DO","Total","Total","Person","0",""
"2010","France","GD","Total","Total","Person","0",""
"2010","France","HT","Total","Total","Person","0",""
"2010","France","JM","Total","Total","Person","0",""
"2010","France","KN","Total","Total","Person","0",""
"2010","France","LC","Total","Total","Person","0",""
"2010","France","VC","Total","Total","Person","0",""
"2010","France","TT","Total","Total","Person","0",""
"2010","France","BZ","Total","Total","Person","0",""
"2010","France","CR","Total","Total","Person","0",""
"2010","France","SV","Total","Total","Person","0",""
"2010","France","GT","Total","Total","Person","0",""
"2010","France","HN","Total","Total","Person","0",""
"2010","France","MX","Total","Total","Person","0",""
"2010","France","NI","Total","Total","Person","0",""
"2010","France","PA","Total","Total","Person","0",""
"2010","France","AR","Total","Total","Person","0",""
"2010","France","BO","Total","Total","Person","0",""
"2010","France","BR","Total","Total","Person","0",""
"2010","France","CL","Total","Total","Person","0",""
"2010","France","CO","Total","Total","Person","0",""
"2010","France","EC","Total","Total","Person","0",""
"2010","France","GY","Total","Total","Person","0",""
"2010","France","PY","Total","Total","Person","0",""
"2010","France","PE","Total","Total","Person","0",""
"2010","France","SR","Total","Total","Person","0",""
"2010","France","UY","Total","Total","Person","0",""
"2010","France","VE","Total","Total","Person","0",""
"2010","France","KZ","Total","Total","Person","0",""
"2010","France","KG","Total","Total","Person","0",""
"2010","France","TJ","Total","Total","Person","0",""
"2010","France","TM","Total","Total","Person","0",""
"2010","France","UZ","Total","Total","Person","0",""
"2010","France","CN","Total","Total","Person","0",""
"2010","France","JP","Total","Total","Person","0",""
"2010","France","MN","Total","Total","Person","0",""
"2010","France","KP","Total","Total","Person","0",""
"2010","France","KR","Total","Total","Person","0",""
"2010","France","TW","Total","Total","Person","0",""
"2010","France","AF","Total","Total","Person","5",""
"2010","France","BD","Total","Total","Person","0",""
"2010","France","BT","Total","Total","Person","0",""
"2010","France","IN","Total","Total","Person","0",""
"2010","France","IR","Total","Total","Person","10",""
"2010","France","MV","Total","Total","Person","0",""
"2010","France","NP","Total","Total","Person","0",""
"2010","France","PK","Total","Total","Person","0",""
"2010","France","LK","Total","Total","Person","0",""
"2010","France","BN","Total","Total","Person","0",""
"2010","France","KH","Total","Total","Person","0",""
"2010","France","ID","Total","Total","Person","0",""
"2010","France","LA","Total","Total","Person","0",""
"2010","France","MY","Total","Total","Person","0",""
"2010","France","MM","Total","Total","Person","0",""
"2010","France","PH","Total","Total","Person","0",""
"2010","France","SG","Total","Total","Person","0",""
"2010","France","TH","Total","Total","Person","0",""
"2010","France","TL","Total","Total","Person","0",""
"2010","France","VN","Total","Total","Person","0",""
"2010","France","AM","Total","Total","Person","0",""
"2010","France","AZ","Total","Total","Person","0",""
"2010","France","BH","Total","Total","Person","0",""
"2010","France","GE","Total","Total","Person","0",""
"2010","France","IQ","Total","Total","Person","170",""
"2010","France","IL","Total","Total","Person","0",""
"2010","France","JO","Total","Total","Person","5",""
"2010","France","KW","Total","Total","Person","0",""
"2010","France","LB","Total","Total","Person","0",""
"2010","France","PS","Total","Total","Person","30",""
"2010","France","OM","Total","Total","Person","0",""
